"NSE_CODE","M1CLOSE","M1CLOSEDT","M1RET","M3CLOSE","M3CLOSEDT","M3RET","M6CLOSE","M6CLOSEDT","M6RET","M12CLOSE","M12CLOSEDT","M12RET","CLOSE",
"PROZONER",39.82,2025-08-29 00:00:00,0.8,43.63,2025-07-31 00:00:00,-8,27.71,2024-12-31 00:00:00,44.86,0.001,,4013900,40.14,
"PRSMJOHNSN",146.11,2025-08-29 00:00:00,1.04,153.23,2025-07-31 00:00:00,-3.65,123.44,2025-04-30 00:00:00,19.6,192.83,2024-10-31 00:00:00,-23.44,147.63,
"PRUDENT",2803,2025-08-29 00:00:00,-2,2921.7,2025-07-31 00:00:00,-5.98,2215.3,2025-04-30 00:00:00,24,3112.7,2024-10-31 00:00:00,-11.75,2746.9,
"PRUDMOULI",36.99,2025-08-29 00:00:00,7,42.5,2025-07-31 00:00:00,-6.87,38.95,2024-09-16 00:00:00,1.62,0.001,,3957900,39.58,
"PSB",27.73,2025-08-29 00:00:00,1.77,29.16,2025-07-31 00:00:00,-3.22,29.61,2025-04-30 00:00:00,-4.69,52,2024-10-31 00:00:00,-45.73,28.22,
"PSPPROJECT",686.2,2025-08-29 00:00:00,-0.19,754.3,2025-07-31 00:00:00,-9.2,637.05,2025-04-30 00:00:00,7.51,601.75,2024-10-31 00:00:00,13.82,684.9,
"PSUBANK",677.21,2025-08-29 00:00:00,0.97,684.73,2025-07-31 00:00:00,-0.13,652.32,2025-04-30 00:00:00,4.83,671.98,2024-10-31 00:00:00,1.76,683.81,
"PSUBANKADD",68.09,2025-08-29 00:00:00,0.94,68.93,2025-07-31 00:00:00,-0.29,65.47,2025-04-30 00:00:00,4.98,67.18,2024-10-31 00:00:00,2.31,68.73,
"PSUBNKBEES",75.21,2025-08-29 00:00:00,1.18,76.54,2025-07-31 00:00:00,-0.57,72.77,2025-04-30 00:00:00,4.58,74.86,2024-10-31 00:00:00,1.66,76.1,
"PSUBNKIETF",68.44,2025-08-29 00:00:00,0.83,69.32,2025-07-31 00:00:00,-0.45,65.95,2025-04-30 00:00:00,4.64,67.9,2024-10-31 00:00:00,1.63,69.01,
"PTC",175.11,2025-08-29 00:00:00,0.91,191.9,2025-07-31 00:00:00,-7.92,176.55,2025-04-30 00:00:00,0.09,181.88,2024-10-31 00:00:00,-2.84,176.71,
"PTCIL",14011,2025-08-29 00:00:00,-1.22,14925,2025-07-31 00:00:00,-7.27,12794,2025-04-30 00:00:00,8.18,11999.05,2024-10-31 00:00:00,15.34,13840,
"PTL",40.04,2025-08-29 00:00:00,-0.35,39.39,2025-07-31 00:00:00,1.29,39.71,2025-04-30 00:00:00,0.48,41.56,2024-10-31 00:00:00,-3.99,39.9,
"PUNJABCHEM",1165.4,2025-08-29 00:00:00,-0.98,1450,2025-07-31 00:00:00,-20.41,1112.5,2025-04-30 00:00:00,3.73,1128.5,2024-10-31 00:00:00,2.26,1154,
"PURVA",287.6,2025-08-29 00:00:00,-0.73,289.85,2025-07-31 00:00:00,-1.5,233.04,2025-04-30 00:00:00,22.51,418.9,2024-10-31 00:00:00,-31.85,285.5,
"PVP",20.81,2025-08-29 00:00:00,2.11,20.96,2025-07-31 00:00:00,1.38,23.9,2025-04-30 00:00:00,-11.09,0.001,,2124900,21.25,
"PVRINOX",1119.9,2025-08-29 00:00:00,-0.05,999.8,2025-07-31 00:00:00,11.95,942.4,2025-04-30 00:00:00,18.77,1570.2,2024-10-31 00:00:00,-28.72,1119.3,
"PVSL",109.89,2025-08-29 00:00:00,1.56,122.27,2025-07-31 00:00:00,-8.73,102.32,2025-04-30 00:00:00,9.07,172.52,2024-10-31 00:00:00,-35.31,111.6,
"PVTBANIETF",26.3,2025-08-29 00:00:00,0.84,27.33,2025-07-31 00:00:00,-2.96,27.45,2025-04-30 00:00:00,-3.39,25.37,2024-10-31 00:00:00,4.53,26.52,
"PVTBANKADD",26.43,2025-08-29 00:00:00,0.72,27.39,2025-07-31 00:00:00,-2.81,27.59,2025-04-30 00:00:00,-3.52,25.51,2024-10-31 00:00:00,4.35,26.62,
"PYRAMID",162.56,2025-08-29 00:00:00,0.92,167.23,2025-07-31 00:00:00,-1.9,156.69,2025-04-30 00:00:00,4.7,206.86,2024-10-31 00:00:00,-20.7,164.05,
"QGOLDHALF",85.13,2025-08-29 00:00:00,1.77,82.09,2025-07-31 00:00:00,5.54,78.8,2025-04-30 00:00:00,9.95,66.68,2024-10-31 00:00:00,29.93,86.64,
"QNIFTY",2670.16,2025-08-29 00:00:00,0.67,2698.55,2025-07-31 00:00:00,-0.39,2632,2025-04-30 00:00:00,2.13,2616.16,2024-10-31 00:00:00,2.75,2688,
"QPOWER",784.1,2025-08-29 00:00:00,3.28,759.65,2025-07-31 00:00:00,6.6,340.2,2025-04-30 00:00:00,138.04,0.001,,80979900,809.8,
"QUADFUTURE",381.45,2025-08-29 00:00:00,12.35,429.5,2025-07-31 00:00:00,-0.22,477.05,2025-04-30 00:00:00,-10.17,0.001,,42854900,428.55,
"QUAL30IETF",21,2025-08-29 00:00:00,1.1,20.75,2025-07-31 00:00:00,2.31,20.16,2025-04-30 00:00:00,5.31,21.67,2024-10-31 00:00:00,-2.03,21.23,
"QUALITY30",20.51,2025-08-29 00:00:00,1.12,20.19,2025-07-31 00:00:00,2.72,0.001,,2073900,0.001,,2073900,20.74,
"QUESS",268.05,2025-08-29 00:00:00,0.58,294.6,2025-07-31 00:00:00,-8.49,331,2025-04-30 00:00:00,-18.55,723,2024-10-31 00:00:00,-62.71,269.6,
"QUICKHEAL",289.2,2025-08-29 00:00:00,0.93,310.45,2025-07-31 00:00:00,-5.98,282.45,2025-04-30 00:00:00,3.35,599.65,2024-10-31 00:00:00,-51.32,291.9,
"RACE",234.89,2025-08-29 00:00:00,-0.04,239.59,2025-07-31 00:00:00,-2,259.6,2025-04-30 00:00:00,-9.55,390.2,2024-10-31 00:00:00,-39.83,234.8,
"RACLGEAR",898.75,2025-08-29 00:00:00,-0.62,929.45,2025-07-31 00:00:00,-3.91,793,2025-04-30 00:00:00,12.63,0.001,,89314900,893.15,
"RADAAN",3.47,2025-08-29 00:00:00,4.9,3.96,2025-07-31 00:00:00,-8.08,3.41,2024-09-24 00:00:00,6.74,0.001,,363900,3.64,
"RADHIKAJWE",92.57,2025-08-29 00:00:00,0.86,99.97,2025-07-31 00:00:00,-6.6,89.95,2025-04-30 00:00:00,3.8,103.14,2024-08-30 00:00:00,-9.47,93.37,
"RADIANTCMS",59.61,2025-08-29 00:00:00,3.15,57.2,2025-07-31 00:00:00,7.5,64.46,2025-04-30 00:00:00,-4.61,76.37,2024-10-31 00:00:00,-19.48,61.49,
